"Bike","Jacket"
"Honda","Thick"
"BMW","Thick"
"BMW","Lite"
"Honda","Med"
"BMW","Med"
"Honda","Thick"
"Honda","Med"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Thick"
"BMW","Med"
"BMW","Thick"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Thick"
"BMW","Thick"
"BMW","Thick"
"Honda","Thick"
"Honda","Med"
"BMW","Thick"
"BMW","Med"
"BMW","Med"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Med"
"BMW","Med"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"BMW","Lite"
"Honda","Lite"
"BMW","Lite"
"Honda","Thick"
"BMW","Med"
"Honda","Med"
"BMW","Med"
"BMW","Thick"
"Honda","Thick"
"Honda","Lite"
"BMW","Thick"
"BMW","Med"
"BMW","Thick"
"Honda","Thick"
"Honda","Med"
"BMW","Thick"
"Honda","Med"
"Honda","Thick"
"BMW","Med"
"Honda","Thick"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"BMW","Thick"
"BMW","Med"
"Honda","Lite"
"BMW","Thick"
"BMW","Thick"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"BMW","Thick"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"Honda","Thick"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Thick"
"BMW","Med"
"BMW","Med"
"BMW","Thick"
"BMW","Thick"
"BMW","Thick"
"Honda","Lite"
"BMW","Med"
"Honda","Lite"
"Honda","Thick"
"BMW","Thick"
"BMW","Thick"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Med"
"BMW","Thick"
"Honda","Thick"
"BMW","Lite"
"BMW","Thick"
"Honda","Lite"
"BMW","Med"
"Honda","Thick"
"BMW","Lite"
"BMW","Lite"
"Honda","Med"
"BMW","Thick"
"Honda","Thick"
"Honda","Thick"
"Honda","Thick"
"Honda","Thick"
"Honda","Thick"
"BMW","Lite"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"BMW","Lite"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"BMW","Lite"
"BMW","Med"
"Honda","Lite"
"Honda","Lite"
"BMW","Thick"
"BMW","Med"
"BMW","Thick"
"BMW","Med"
"Honda","Med"
"Honda","Med"
"Honda","Thick"
"Honda","Thick"
"Honda","Med"
"Honda","Med"
"Honda","Med"
"Honda","Thick"
"BMW","Thick"
"BMW","Lite"
"Honda","Thick"
"BMW","Med"
"Honda","Lite"
"BMW","Lite"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"Honda","Lite"
"BMW","Med"
"BMW","Med"
"BMW","Lite"
"BMW","Thick"
"BMW","Med"
"Honda","Med"
"BMW","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Thick"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"BMW","Lite"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"BMW","Med"
"Honda","Med"
"BMW","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Med"
"BMW","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Thick"
"BMW","Thick"
"BMW","Thick"
"BMW","Lite"
"BMW","Thick"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Med"
"BMW","Med"
"Honda","Thick"
"Honda","Med"
"Honda","Med"
"BMW","Thick"
"Honda","Thick"
"Honda","Med"
"BMW","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Thick"
"BMW","Thick"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Thick"
"Honda","Lite"
"Honda","Med"
"BMW","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"BMW","Med"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"BMW","Thick"
"Honda","Thick"
"Honda","Med"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Thick"
"Honda","Thick"
"BMW","Thick"
"BMW","Thick"
"BMW","Med"
"BMW","Lite"
"Honda","Med"
"BMW","Lite"
"BMW","Lite"
"BMW","Thick"
"Honda","Med"
"Honda","Med"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"BMW","Lite"
"Honda","Lite"
"Honda","Med"
"Honda","Med"
"Honda","Med"
"BMW","Lite"
"Honda","Lite"
"Honda","Thick"
"BMW","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Thick"
"Honda","Lite"
"BMW","Lite"
"Honda","Lite"
"BMW","Med"
"Honda","Med"
"Honda","Med"
"Honda","Thick"
"Honda","Lite"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"BMW","Lite"
"BMW","Thick"
"Honda","Med"
"Honda","Lite"
"Honda","Thick"
"Honda","Med"
"BMW","Lite"
"BMW","Lite"
"Honda","Thick"
"BMW","Thick"
"BMW","Thick"
"BMW","Thick"
"BMW","Med"
"BMW","Med"
"BMW","Med"
"BMW","Thick"
"Honda","Med"
"BMW","Thick"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Lite"
"BMW","Thick"
"BMW","Thick"
"BMW","Thick"
"BMW","Lite"
"BMW","Thick"
"Honda","Thick"
"Honda","Lite"
"BMW","Lite"
"Honda","Lite"
"Honda","Thick"
"Honda","Lite"
"Honda","Lite"
"BMW","Med"
"Honda","Lite"
"Honda","Lite"
"BMW","Med"
"Honda","Med"
"BMW","Thick"
"BMW","Med"
"Honda","Med"
"Honda","Thick"
"BMW","Thick"
"BMW","Lite"
"Honda","Lite"
"BMW","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"Honda","Med"
"BMW","Lite"
"BMW","Thick"
"BMW","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Med"
"Honda","Lite"
"Honda","Thick"
"Honda","Lite"
"Honda","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Thick"
"BMW","Med"
"BMW","Thick"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"BMW","Med"
"BMW","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"Honda","Lite"
"BMW","Med"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"BMW","Med"
"BMW","Med"
"Honda","Lite"
"BMW","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Med"
"Honda","Med"
"Honda","Med"
"BMW","Med"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"BMW","Lite"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Med"
"BMW","Med"
"BMW","Med"
"Honda","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Lite"
"BMW","Med"
"BMW","Med"
"BMW","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Thick"
"BMW","Thick"
"Honda","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Thick"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Lite"
"Honda","Med"
"BMW","Med"
"BMW","Thick"
"BMW","Thick"
"Honda","Thick"
"BMW","Med"
"BMW","Med"
"BMW","Med"
"BMW","Med"
"Honda","Thick"
"BMW","Lite"
"BMW","Med"
"Honda","Thick"
"Honda","Thick"
"BMW","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Thick"
"BMW","Med"
"Honda","Med"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"BMW","Med"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Lite"
"BMW","Thick"
"Honda","Lite"
"BMW","Med"
"BMW","Thick"
"Honda","Med"
"Honda","Thick"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"BMW","Med"
"Honda","Lite"
"BMW","Lite"
"Honda","Med"
"BMW","Med"
"Honda","Lite"
"Honda","Lite"
"BMW","Med"
"Honda","Thick"
"BMW","Med"
"Honda","Med"
"Honda","Med"
"Honda","Lite"
"BMW","Lite"
"Honda","Thick"
"Honda","Thick"
"Honda","Med"
"Honda","Thick"
"Honda","Lite"
"Honda","Thick"
"Honda","Lite"
"Honda","Med"
"BMW","Med"
"Honda","Thick"
"Honda","Med"
"BMW","Thick"
"BMW","Thick"
"BMW","Med"
"BMW","Thick"
"Honda","Med"
"Honda","Lite"
"Honda","Thick"
"BMW","Med"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"Honda","Thick"
"Honda","Med"
"BMW","Thick"
"BMW","Lite"
"BMW","Thick"
"BMW","Lite"
"BMW","Thick"
"BMW","Thick"
"BMW","Thick"
"Honda","Med"
"BMW","Thick"
"BMW","Med"
"Honda","Med"
"BMW","Lite"
"BMW","Lite"
"Honda","Med"
"Honda","Thick"
"BMW","Thick"
"Honda","Med"
"BMW","Thick"
"BMW","Lite"
"BMW","Med"
"BMW","Med"
"Honda","Lite"
"BMW","Thick"
"BMW","Med"
"BMW","Thick"
"BMW","Thick"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"BMW","Thick"
"Honda","Thick"
"BMW","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"BMW","Thick"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"BMW","Med"
"Honda","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Thick"
"BMW","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Med"
"BMW","Thick"
"BMW","Med"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"Honda","Med"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"BMW","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"BMW","Lite"
"Honda","Lite"
"BMW","Med"
"BMW","Med"
"Honda","Thick"
"Honda","Med"
"Honda","Thick"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Lite"
"Honda","Thick"
"BMW","Med"
"Honda","Med"
"Honda","Med"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"BMW","Med"
"Honda","Thick"
"Honda","Med"
"BMW","Med"
"Honda","Lite"
"Honda","Thick"
"BMW","Thick"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"BMW","Thick"
"Honda","Thick"
"Honda","Thick"
"BMW","Lite"
"BMW","Lite"
"Honda","Lite"
"BMW","Med"
"Honda","Med"
"BMW","Thick"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"BMW","Med"
"BMW","Med"
"Honda","Med"
"Honda","Med"
"BMW","Med"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"BMW","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Lite"
"Honda","Lite"
"Honda","Thick"
"Honda","Lite"
"Honda","Lite"
"BMW","Med"
"Honda","Med"
"Honda","Lite"
"BMW","Med"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"BMW","Med"
"Honda","Med"
"BMW","Med"
"Honda","Med"
"BMW","Thick"
"BMW","Thick"
"Honda","Med"
"Honda","Med"
"Honda","Lite"
"BMW","Med"
"Honda","Lite"
"Honda","Thick"
"Honda","Med"
"Honda","Med"
"BMW","Thick"
"BMW","Thick"
"BMW","Med"
"Honda","Lite"
"BMW","Lite"
"BMW","Thick"
"BMW","Lite"
"BMW","Thick"
"Honda","Med"
"BMW","Lite"
"Honda","Thick"
"BMW","Lite"
"Honda","Lite"
"Honda","Thick"
"BMW","Med"
"BMW","Med"
"Honda","Med"
"Honda","Lite"
"Honda","Thick"
"BMW","Med"
"Honda","Thick"
"BMW","Med"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"BMW","Thick"
"BMW","Thick"
"BMW","Med"
"BMW","Thick"
"Honda","Med"
"BMW","Thick"
"Honda","Med"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"BMW","Med"
"Honda","Lite"
"Honda","Thick"
"Honda","Lite"
"Honda","Med"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"BMW","Thick"
"BMW","Lite"
"Honda","Lite"
"Honda","Lite"
"BMW","Thick"
"Honda","Lite"
"Honda","Med"
"BMW","Thick"
"BMW","Thick"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Lite"
"BMW","Thick"
"Honda","Med"
"BMW","Lite"
"Honda","Lite"
"Honda","Thick"
"Honda","Lite"
"BMW","Thick"
"Honda","Thick"
"BMW","Thick"
"Honda","Med"
"Honda","Med"
"Honda","Lite"
"BMW","Thick"
"BMW","Med"
"BMW","Thick"
"Honda","Lite"
"BMW","Med"
"Honda","Lite"
"BMW","Med"
"Honda","Thick"
"Honda","Med"
"Honda","Thick"
"BMW","Thick"
"Honda","Lite"
"BMW","Thick"
"BMW","Thick"
"Honda","Lite"
"BMW","Thick"
"BMW","Thick"
"Honda","Lite"
"Honda","Thick"
"Honda","Lite"
"BMW","Lite"
"BMW","Med"
"BMW","Med"
"Honda","Thick"
"Honda","Med"
"BMW","Lite"
"Honda","Lite"
"Honda","Thick"
"BMW","Med"
"BMW","Thick"
"BMW","Thick"
"BMW","Thick"
"Honda","Thick"
"BMW","Lite"
"Honda","Med"
"BMW","Lite"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Lite"
"BMW","Thick"
"BMW","Thick"
"BMW","Lite"
"BMW","Med"
"BMW","Thick"
"Honda","Thick"
"Honda","Lite"
"BMW","Med"
"Honda","Lite"
"Honda","Lite"
"BMW","Lite"
"Honda","Lite"
"BMW","Thick"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Thick"
"Honda","Med"
"BMW","Lite"
"BMW","Med"
"Honda","Thick"
"BMW","Med"
"BMW","Lite"
"Honda","Lite"
"BMW","Thick"
"BMW","Thick"
"Honda","Med"
"BMW","Thick"
"BMW","Lite"
"Honda","Lite"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"Honda","Thick"
"Honda","Lite"
"BMW","Thick"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"BMW","Med"
"BMW","Med"
"BMW","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"BMW","Med"
"BMW","Thick"
"BMW","Lite"
"Honda","Lite"
"BMW","Thick"
"BMW","Thick"
"Honda","Med"
"Honda","Thick"
"Honda","Thick"
"Honda","Lite"
"Honda","Thick"
"Honda","Thick"
"Honda","Thick"
"BMW","Lite"
"BMW","Lite"
"BMW","Med"
"Honda","Lite"
"BMW","Thick"
"BMW","Lite"
"Honda","Thick"
"Honda","Med"
"BMW","Lite"
"Honda","Lite"
"Honda","Lite"
"Honda","Thick"
"BMW","Med"
"Honda","Med"
"BMW","Thick"
"Honda","Lite"
"Honda","Lite"
"Honda","Lite"
"BMW","Lite"
"BMW","Lite"
"Honda","Med"
"Honda","Med"
"BMW","Med"
"Honda","Thick"
"Honda","Med"
"Honda","Lite"
"Honda","Med"
"BMW","Lite"
